comment,sentiment,length
sahi kaha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus,positive,99
sahi baat hai,positive,13
kya baat hai,positive,12
wah je wah,positive,10
are wha kaya bat hai,positive,20
wah kya baat likhi,positive,18
wha itni sari khubiya,positive,21
itni khubiya,positive,12
ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,positive,59
please everyone allah swt ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey,positive,96
ya mere rab tu bra kreem hy is mulk k halat pr reham frma is watneaziz ki hifazat frmaamin,positive,90
jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti hai or ye hum pakitani awam ko hi martey han jaago pakistan key logo,positive,148
kia kia jae kon sacha hai allah jany pak kese bdl sakta hai i think nsl to ase e guzr jain gi bd me koi hua to pta nahi,positive,119
afsos hota hai garip insan kaha jay allah ki lati me awaz hai jo zulum kry ga allah ki lati pary gi,positive,99
allah insaaf karey,positive,18
allah musalman phir dor e jahalat me jaraha hai hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy,positive,136
je thik kaha right,positive,18
jee ye to he,positive,12
maa cheez e ase hai jis ka koi namil badl nahi,positive,46
wah wah yeh toh hy,positive,18
zenda bad yar,positive,13
es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy,positive,118
wha bhut qoob,positive,13
right or sada time same nahi rehtaaaaaa,positive,39
wha wha kaya bat hai,positive,20
bohat khoob so true alhamdulillah,positive,33
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,positive,101
sjdo me bhi wo hi pda he jis k dil me khuda ka dr he,positive,52
beshaq haq baat hai,positive,19
right hai but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,positive,94
right mara jasa masom log,positive,25
mashaallah,positive,10
mubarak,positive,7
ma hun hero tara,positive,16
feel kar speed bot ki,positive,21
isy kahty han hop hip hop powered by abraham tamim,positive,50
great aadmi aadmi,positive,17
in england attaullah esakhelvi married with a pakistani ethnography british lady,positive,80
he has one son with her,positive,23
he got second marriage with bazgha she is famous manuscript actress and they have only daughter named laraib and only son named sanwal,positive,134
he received honorable award from the government of pakistan and life time achievement award from the queen of england,positive,117
he entered in guinness book of world record for the singer of most recorded albums,positive,82
